sampleID	measurement1	measurement2	measurement3
2-D0AM	8097579.616619405	8536465.8116019	9538355.243706789
2-D0PM	29727973.88554677	56141273.29803757	24364385.02498717
2-D10	41290040113.68631	64235676191.78477	83845565730.19032
2-D11	29813632146.131725	65875384712.51133	50778117903.70228
2-D14	16477705228.69584	71049070088.90057	24988685454.784668
2-D16	36664874854.70677	62378985174.20125	38759987312.76533
2-D18	45232566585.6605	23205043819.98146	23302490408.603653
2-D1AM	151607834065.61523	382576130495.6521	232129633552.0989
2-D1PM	4096267649.934705	10337140648.66282	10365582304.646036
2-D21AM	96172168318.34642	171834286165.96555	94880822923.2862
2-D21PM	205524335505.7948	67550021795.997475	255451308344.61227
2-D22AM	60558362970.23389	131404270275.09576	108060027697.29044
2-D22PM	91639598819.65692	142055911312.30646	138902900190.48364
2-D23AM	43242325772.83694	65089446895.78181	54184122357.55058
2-D23PM	74259662634.1006	116235733670.36154	116350656076.98216
2-D24	143630016587.81494	208415609343.68915	252021284348.3553
2-D25	89980137212.24002	108978701111.47852	140199256911.42014
2-D28AM	55936838438.4806	83114080565.91846	57890100372.0719
2-D28PM	63820889495.675186	96676954233.46793	106023257192.80405
2-D29AM	142962109861.15256	135142386145.22116	344575257204.63916
2-D29PM	220169225575.79895	164956099752.55353	291378910039.1927
2-D2AM	3134399726.476831	7570235003.341433	13617737385.290302
2-D2PM	15867908408.618694	17650644345.766243	23635722122.004692
2-D30AM	339868862734.17285	118287277577.48991	524722802513.7386
2-D30PM	25206515656.455753	16295107582.372688	31571354937.895695
2-D31AM	338301306659.85895	376526767719.62305	486140925607.49115
2-D31PM	138056808192.3324	171631694275.74478	295954087488.3562
2-D32	148534736585.3571	125946712928.2869	161934915760.63663
2-D33	207677495441.8332	318158262068.8737	259373407076.1408
2-D35AM	106485075340.2732	207344906506.62747	227396044411.0427
2-D35PM	136222329854.88255	135568054061.92474	171527608413.36655
2-D36AM	134498186193.02486	110551288334.48932	243686248482.2819
2-D36PM	181893966582.63193	217267383880.4627	306651944680.18146
2-D37AM	33828915998.92718	65197173727.813385	39361520495.54885
2-D37PM	56948032511.98799	101208394204.99364	91948856327.64636
2-D38	81021152717.63623	118406981768.11977	125003359826.7446
2-D39	91848937099.7902	146434727666.10373	138367194661.71103
2-D3AM	11421116251.882202	24200245623.941097	18719856944.424255
2-D3PM	42832166048.32942	57391824083.53473	83134697319.94
2-D42AM	49234505957.061584	107087810892.8838	73994173958.3342
2-D42PM	72178820630.74869	92113076663.31674	87845327232.98647
2-D43AM	15919674580.20935	29030089468.226612	31387176159.21759
2-D43PM	12379777544.748692	12837685830.30777	19963707682.41049
2-D44AM	16698034672.574238	20311933571.899105	21929225514.004757
2-D44PM	17427625601.405464	32965852668.08891	37710572441.037445
2-D45AM	14672546925.145773	14137963828.259844	14249820727.094547
2-D45PM	9901020987.322884	13896822731.418472	12923385124.110014
2-D46	12691494913.133686	16873397206.718882	16128096049.735573
2-D47	31046265445.988384	42387500795.523544	72251364334.10098
2-D4AM	45485919941.93145	67572063847.63983	85021835384.58888
2-D4PM	17691156654.74001	41790281503.75204	40465127119.00446
2-D5	18402114965.198532	29286254282.787384	29679010039.289043
2-D50AM	14073183971.5113	23596253440.269382	23261247384.636658
2-D50PM	8229638304.76992	32901375189.252808	11458743151.443602
2-D51AM	17929365519.00675	26160143175.008263	28461149080.7568
2-D51PM	25913718155.59162	11332185333.82854	30300366379.66169
2-D52AM	6842636329.841776	11864112528.830528	10852917348.47944
2-D52PM	18596443026.496967	59729122085.22416	28187947868.32021
2-D53	41973344114.23074	36769092519.88882	51373046901.74514
2-D54	36985979275.01037	40700420862.12564	55893394625.17332
2-D57AM	109837332975.4146	222684199159.65167	116660842708.86696
2-D57PM	49040509918.286446	69001767007.2125	71415696801.09009
2-D58AM	66646977419.60058	68109926376.133354	67494149251.70491
2-D58PM	65989219216.003716	104329133741.5545	92464815959.98996
2-D59AM	69844309712.4827	93298030323.1181	104705966258.3722
2-D59PM	105897121851.21529	147413703058.7731	152160657098.8804
2-D6	24374766970.704437	21103485853.62694	34415373873.46508
2-D60AM	340071530615.808	105264027095.6735	343602640836.60925
2-D60PM	32607459918.357063	37443749499.74055	45377366315.82811
2-D61	62889636355.17515	82189460771.40128	62415575809.69753
2-D62	145483357093.88037	290359107560.7487	127196413147.86108
2-D63	5752414612.289142	11342357506.673538	11076196619.477669
2-D64AM	70238452837.87733	101239202231.64449	81290975965.31343
2-D64PM	244303816228.6531	307758362432.74664	264478599867.2318
2-D7	63940635036.28185	24028686833.095688	73917832441.17944
2-D8	131202753593.84557	202878593797.37805	111401605701.7027
2-D9	59563252958.998726	136371020165.8746	127689214381.69353
3-D0AM	16306635.44663147	18837859.551817626	52969673.931873366
3-D0PM	2427086251.568198	2657265381.3002653	6204210421.303152
3-D10	39548527671.2441	80474378763.54558	74781247126.59607
3-D11	63216736967.05494	44347783303.20404	78470784932.49051
